Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69e007ac386770ac57101493,5a24bcab681a240001ff42de,APPROVED,Not Applicable,2026-04-15T21:48:33.232000Z,2026-04-15T21:50:06.072000Z,2026-04-15T21:50:06.572000Z,2026-04-15T21:50:06.518289Z,93.0,C1C28QBX,3466,English,27,Female,White,United States,United States,United States,English,No,Full-Time
69e008084f86ae5b6218bf15,5fa2b9a3c1d67f3a311db672,APPROVED,Not Applicable,2026-04-15T21:50:04.869000Z,2026-04-15T21:51:10.484000Z,2026-04-15T21:51:11.095000Z,2026-04-15T21:51:11.024049Z,66.0,C1C28QBX,6954,English,28,Female,White,United States,United States,United States,English,No,Full-Time
69e0081140bec4b992d9be5d,6108781e0d1dd936d2b75432,APPROVED,Not Applicable,2026-04-15T21:50:12.614000Z,2026-04-15T21:51:48.644000Z,2026-04-15T21:51:49.227000Z,2026-04-15T21:51:49.190501Z,97.0,C1C28QBX,7036,English,35,Female,White,United States,United States,United States,English,No,Other
69e00817a131c5543ba4bde7,60919c8f1b024991374cfb2d,APPROVED,Not Applicable,2026-04-15T21:50:23.811000Z,2026-04-15T21:52:14.558000Z,2026-04-15T21:52:15.123000Z,2026-04-15T21:52:15.058133Z,111.0,C1C28QBX,9457,English,27,Female,White,United States,United States,United States,English,No,Part-Time
69e008186a5b1ed44819b08d,5b11afecc85dc40001621432,APPROVED,Not Applicable,2026-04-15T21:55:54.521000Z,2026-04-15T21:57:08.520000Z,2026-04-15T21:57:09.052000Z,2026-04-15T21:57:08.998656Z,74.0,C1C28QBX,4759,English,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e00843b858641ea8cadefe,6308c7c633514099aebd6ecf,APPROVED,Not Applicable,2026-04-15T21:51:03.077000Z,2026-04-15T21:52:24.047000Z,2026-04-15T21:52:24.583000Z,2026-04-15T21:52:24.510482Z,81.0,C1C28QBX,2869,English,33,Male,Other,Dominican Republic,United States,Dominican Republic,English,No,Unemployed (and job seeking)
69e008857b98281b302d350f,69c55a7b5b6813e6e66e39fc,APPROVED,Not Applicable,2026-04-15T21:52:08.254000Z,2026-04-15T21:53:25.533000Z,2026-04-15T21:53:26.125000Z,2026-04-15T21:53:26.100080Z,78.0,C1C28QBX,664,English,29,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69e0088c9c56fa6d50774f13,69dc54c0990131b595bb382a,AWAITING REVIEW,Not Applicable,2026-04-15T21:52:15.949000Z,2026-04-15T21:53:33.872000Z,,2026-04-15T21:53:34.334737Z,78.0,C1C28QBX,1,English,23,Female,White,United States,United States,DATA_EXPIRED,English,No,Part-Time
69e008960c70b4453478640a,69b180426096d1ccdde605a2,APPROVED,Not Applicable,2026-04-15T21:52:28.326000Z,2026-04-15T21:53:57.504000Z,2026-04-15T21:53:58.093000Z,2026-04-15T21:53:58.033219Z,90.0,C1C28QBX,81,English,33,Male,White,United States,United States,United States,English,No,Full-Time
69e008fb8ef10ea7d0df5665,698651b5bbcfef723824cb98,APPROVED,Not Applicable,2026-04-15T21:54:59.239000Z,2026-04-15T21:56:56.877000Z,2026-04-15T21:56:57.479000Z,2026-04-15T21:56:57.417792Z,118.0,C1C28QBX,1726,English,30,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
69e00987ef388713fd6e9268,69cea0ac61a4f06eb99076a6,APPROVED,Not Applicable,2026-04-15T21:56:46.899000Z,2026-04-15T22:01:40.370000Z,2026-04-15T22:01:40.872000Z,2026-04-15T22:01:40.822530Z,294.0,C1C28QBX,64,English,32,Male,Black,United States,United States,United States,English,Yes,Part-Time
69e00993139a301e7dd9babb,67ac2151e5b37e0b91a5af0e,APPROVED,Not Applicable,2026-04-15T21:56:39.273000Z,2026-04-15T21:58:06.102000Z,2026-04-15T21:58:06.660000Z,2026-04-15T21:58:06.632930Z,87.0,C1C28QBX,3816,English,35,Female,White,United States,United States,United States,English,No,Part-Time
69e00a61de2b8ca1e7b1330d,65cb86a7e667e637599a3af3,APPROVED,Not Applicable,2026-04-15T22:00:07.043000Z,2026-04-15T22:02:53.271000Z,2026-04-15T22:02:53.793000Z,2026-04-15T22:02:53.753249Z,167.0,C1C28QBX,4732,"Tagalog-Filipino, English",27,Female,Asian,Philippines,United States,Philippines,Tagalog-Filipino,No,Full-Time
69e00a7bc5b9e615289a0d16,67a517b3ce9ad5ca6839e028,APPROVED,Not Applicable,2026-04-15T22:00:32.318000Z,2026-04-15T22:05:03.255000Z,2026-04-15T22:05:03.826000Z,2026-04-15T22:05:03.770150Z,271.0,C1C28QBX,1165,English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e00aca8cfb672394fe5170,69b8762839c7c5f0345ac67a,APPROVED,Not Applicable,2026-04-15T22:02:00.147000Z,2026-04-15T22:07:17.947000Z,2026-04-15T22:07:19.120000Z,2026-04-15T22:07:18.466416Z,318.0,C1C28QBX,398,English,29,Female,Black,United States,United States,United States,English,No,Part-Time
69e00ace1b296bae35bce040,69c00f438bdb72f67d502363,APPROVED,Not Applicable,2026-04-15T22:02:37.818000Z,2026-04-15T22:13:36.422000Z,2026-04-15T22:13:36.951000Z,2026-04-15T22:13:36.899299Z,659.0,C1C28QBX,276,"English, Swahili",28,Male,Black,Kenya,United States,United States,English,Yes,Part-Time
69e00adb3e4a2809f5db9f27,69c41799dfcdff198b56a122,APPROVED,Not Applicable,2026-04-15T22:02:10.790000Z,2026-04-15T22:04:25.012000Z,2026-04-15T22:04:25.540000Z,2026-04-15T22:04:25.473828Z,135.0,C1C28QBX,86,English,35,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69e00af969474a2f97dd4197,69dd1b1450426eeb0f9526aa,APPROVED,Not Applicable,2026-04-15T22:02:37.973000Z,2026-04-15T22:05:25.926000Z,2026-04-15T22:05:26.575000Z,2026-04-15T22:05:26.523708Z,168.0,C1C28QBX,40,English,28,Female,White,United States,United States,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
69e00b5c5e0c78ab1634d292,69432f5eec27bf29567095f7,AWAITING REVIEW,Not Applicable,2026-04-15T22:04:14.371000Z,2026-04-15T22:05:12.054000Z,,2026-04-15T22:05:12.470143Z,58.0,C1C28QBX,1672,English,28,Male,White,United States,United States,United States,English,No,Part-Time
69e00b621ea5b4a41fe291c5,5e39a13ba532a30419772ab7,AWAITING REVIEW,Not Applicable,2026-04-15T22:04:26.635000Z,2026-04-15T22:05:23.933000Z,,2026-04-15T22:05:24.419717Z,58.0,C1C28QBX,1406,English,34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
