participant_id,true_rule,chosen_rule,true_blicket_objects,chosen_objects,num_unique_tests,info_gain_per_test,avg_response_time,num_tests_before_qa,action_history_length,info_gain_per_action,mean_info_gain_per_action
5ecb0bb39b4189656f60872b,disjunctive,disjunctive,"[0, 1]","[0, 1]",5,"[0.32192809488736235, 0.5849625007211562, 0.41503749927884376, 2.584962500721156, 0.0]",5.322,5,16,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.5849625007211562, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 0.0, 2.584962500721156, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
5f4a7a00dc1bde60ab8f7ac5,conjunctive,conjunctive,"[0, 1]","[0, 1]",12,"[1.0995356735509143, 0.22239242133644802, 0.2630344058337938, 0.0, 0.32192809488736235, 0.41503749927884376, 0.0, 0.0, 0.0, 0.5849625007211562, 0.0, 1.0]",5.372,12,34,"[0.0, 0.0, 0.0, 1.0995356735509143, 0.0, 0.0, 0.22239242133644802, 0.0, 0.0, 0.2630344058337938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32192809488736235, 0.0, 0.41503749927884376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5849625007211562, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.558127227944074
5f76586f6ce6850f223a25ab,disjunctive,disjunctive,"[2, 3]","[2, 3]",4,"[2.321928094887362, 0.0, 0.5849625007211562, 1.0]",5.65,4,14,"[0.0, 0.0, 2.321928094887362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5849625007211562, 0.0, 0.0, 1.0, 0.0]",1.3022968652028395
5fa9dab94f9d9c26d3db5226,disjunctive,disjunctive,"[1, 3]","[1, 3]",4,"[0.32192809488736235, 2.0, 0.5849625007211562, 1.0]",15.593,4,15,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.5849625007211562, 0.0, 0.0, 1.0]",0.9767226489021296
602aaba2c2eb7c106100e516,disjunctive,disjunctive,"[0, 1]","[0, 1]",13,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.936,13,53,"[0.0, 0.9068905956085185, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021297
6070fa4b22640f1d2b78c5a7,conjunctive,conjunctive,"[1, 2]",[],2,"[0.32192809488736235, 0.41503749927884376]",4.858,2,10,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 0.0]",0.36848279708310305
609916ce82bc0800c9196cde,disjunctive,disjunctive,"[0, 2]","[0, 2]",6,"[0.32192809488736235, 0.41503749927884376, 0.16992500144231237, 3.0, 0.0, 0.0]",9.132,6,23,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 0.0, 0.16992500144231237, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021297
60a1e1f4a3707c983a98f185,disjunctive,disjunctive,"[1, 3]","[1, 3]",7,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.238,16,53,"[0.0, 1.0995356735509143, 0.0, 0.0, 0.8073549220576041, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
60b788ecd24b27bb39298936,conjunctive,conjunctive,"[2, 3]","[2, 3]",15,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 0.19264507794239583, 0.22239242133644802, 2.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0]",7.471,15,54,"[0.0, 0.09953567355091437, 0.0, 0.0, 0.10691520391651188, 0.0, 0.0, 0.11547721741993588, 0.0, 0.0, 0.12553088208385882, 0.0, 0.0, 0.0, 0.13750352374993502, 0.0, 0.0, 0.15200309344505006, 0.0, 0.0, 0.16992500144231237, 0.0, 0.0, 0.0, 0.0, 0.19264507794239583, 0.0, 0.0, 0.22239242133644802, 0.0, 0.0, 0.0, 0.0, 2.584962500721156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3906890595608518
60bea43aa26919517334ed4a,conjunctive,conjunctive,"[1, 3]","[1, 3]",7,"[0.32192809488736235, 0.12553088208385882, 0.13750352374993502, 3.321928094887362, 0.0, 0.0, 0.0, 0.0]",10.351,8,29,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.12553088208385882, 0.0, 0.0, 0.13750352374993502, 0.0, 3.321928094887362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
